employee_id,in_degree_weighted,out_degree_weighted,betweenness,eigenvector,pagerank,clustering_coeff,in_degree_weighted_norm,out_degree_weighted_norm,betweenness_norm,eigenvector_norm,pagerank_norm,influence_score,full_name,department,job_level_name,network_role
EMP00757,21,9,0.00019288577154308615,0.26897489982241113,0.007648270598464063,0.09903918870874587,0.9130434782608695,0.375,0.4583333333333333,0.7516620856769668,0.5349705973555121,0.6418,"Cut Kartika Sitompul, S.IP",Legal,Specialist,Central Connector
EMP00754,23,14,8.76753507014028e-05,0.3037522203422708,0.00471625753789152,0.09863892128866017,1.0,0.5833333333333334,0.20833333333333334,0.8488488242666024,0.32988622458454175,0.5572,Tgk. Rika Sirait,Legal,Specialist,Central Connector
EMP00774,19,10,5.385771543086172e-05,0.35784018503496184,0.005200167025847569,0.054879901914038604,0.8260869565217391,0.4166666666666667,0.12797619047619047,1.0,0.3637340526006995,0.5445,Patricia Siregar,Legal,Senior Staff,Central Connector
EMP00564,12,13,0.0002321309285237141,0.00010566715645658699,0.014296618610950391,0.037511471719610875,0.5217391304347826,0.5416666666666666,0.5515873015873016,0.0002952914761271517,1.0,0.5199,"Liman Habibi, S.Psi",HR,Senior Staff,Central Connector
EMP00766,21,3,2.517598010090533e-06,0.3049045316842912,0.005706491423109305,0.11040187149509896,0.9130434782608695,0.125,0.005982292414453219,0.8520690085561556,0.3991497275263718,0.4972,"Carla Nainggolan, S.Ked",Legal,Senior Staff,Central Connector
EMP00779,16,14,0.00011022044088176352,0.2637138642115394,0.0043688783790223895,0.09647445830701493,0.6956521739130435,0.5833333333333334,0.2619047619047619,0.7369598922652411,0.305588230190045,0.4783,Wardaya Salahudin,Legal,Lead,Central Connector
EMP00775,19,9,0.00010562792251169005,0.24291153248928102,0.003870292726176828,0.08612895600828357,0.8260869565217391,0.375,0.2509920634920635,0.6788268692224938,0.2707138541985309,0.4779,Tgk. Murti Zulaika,Legal,Specialist,Central Connector
EMP00749,12,9,0.00042084168336673346,7.128854926133807e-09,0.0021924622034818933,0.02620577181662402,0.5217391304347826,0.375,1.0,1.9921895930825378e-08,0.15335529772072068,0.4427,Aris Mandala,Data & Analytics,Staff,Central Connector
EMP00756,13,11,8.851035404141614e-05,0.21799595832735053,0.004519720004117611,0.1650740595662589,0.5652173913043478,0.4583333333333333,0.21031746031746026,0.6091992108322094,0.316139090445888,0.4075,"Padmi Salahudin, M.Kom.",Legal,Staff,Central Connector
EMP00753,18,17,1.002004008016032e-05,0.23149906248765695,0.0044653357007490915,0.09336188516880929,0.782608695652174,0.7083333333333334,0.023809523809523808,0.6469342241845726,0.3123350928120094,0.4035,Elisa Wijaya,Legal,Specialist,Central Connector
EMP00770,16,13,7.468874096601915e-05,0.21125556934974357,0.003228897598476435,0.0875267673457587,0.6956521739130435,0.5416666666666666,0.17747467496211217,0.5903628999328384,0.225850439627961,0.3964,Zizi Halim,Legal,Lead,Central Connector
EMP00719,10,14,0.0003607214428857715,1.7230662541286888e-09,0.002297994583048715,0.0,0.43478260869565216,0.5833333333333334,0.8571428571428571,4.815183778088928e-09,0.16073692987015703,0.3843,Galar Simanjuntak,Data & Analytics,Specialist,Central Connector
EMP00587,17,9,0.00016322427098753624,0.00018259253753988774,0.006007320356433437,0.10647391950694247,0.7391304347826086,0.375,0.3878519582037171,0.000510262807744882,0.42019169146976987,0.3694,"Najib Prakasa, M.M.",HR,Senior Staff,Central Connector
EMP00558,21,16,0.0001582331329325317,0.00012136246060337842,0.004133261688887687,0.05455518812573044,0.9130434782608695,0.6666666666666666,0.37599206349206343,0.0003391526879283304,0.2891076415595115,0.3678,"Tgk. Nasab Hutasoit, M.TI.",HR,Senior Staff,Central Connector
EMP00776,9,6,0.00015698062792251168,0.15390398836350505,0.003694603707423292,0.05,0.391304347826087,0.25,0.373015873015873,0.43009140616353153,0.2584250029999008,0.3623,"Rangga Saptono, M.Ak",Legal,Staff,Central Connector
EMP00768,9,12,8.80928523714095e-05,0.19328546671643926,0.004416957538379642,0.09523809523809523,0.391304347826087,0.5,0.20932539682539686,0.5401446645729707,0.3089512043775516,0.3533,Hendri Putra,Legal,Specialist,Central Connector
EMP00586,15,6,0.00013485303941215764,0.00013914164333917687,0.006807812128020747,0.047619047619047616,0.6521739130434783,0.25,0.3204365079365079,0.00038883738930993005,0.4761833768725111,0.3457,Hendra Utama,HR,Staff,Central Connector
EMP00560,12,3,9.268537074148296e-05,0.00011760353885908565,0.009404306178867176,0.05503212081491045,0.5217391304347826,0.125,0.22023809523809523,0.00032864821721349016,0.6577993324704078,0.335,"Maida Farida, M.TI.",HR,Senior Staff,Central Connector
EMP00737,17,6,0.00020040080160320639,2.6770697278772465e-10,0.002272721348877354,0.05241154363324804,0.7391304347826086,0.25,0.4761904761904761,7.481188082930625e-10,0.15896915282726923,0.3304,Diana Saptono,Data & Analytics,Senior Staff,Central Connector
EMP00527,6,10,0.0003256513026052104,3.0986718770789125e-11,0.0025783084568762227,0.0,0.2608695652173913,0.4166666666666667,0.7738095238095238,8.659373672009936e-11,0.18034393495685658,0.3294,Yance Tarihoran,Finance,Specialist,Central Connector
EMP00571,7,10,0.00019539078156312624,6.397827153464801e-05,0.0060110708970863526,0.0,0.30434782608695654,0.4166666666666667,0.46428571428571425,0.0001787900694506884,0.4204540290724561,0.3053,Diah Riyanti,HR,Senior Staff,Central Connector
EMP00772,10,17,8.350033400133598e-05,0.15731171605449704,0.0025270873429750055,0.11921818006041064,0.43478260869565216,0.7083333333333334,0.19841269841269837,0.43961444978329445,0.17676119170160987,0.3006,Tgk. Mujur Kuswandari,Legal,Staff,Central Connector
EMP00752,12,7,3.381763527054108e-05,0.1762883111713434,0.0027518267257648494,0.1838789869648127,0.5217391304347826,0.2916666666666667,0.08035714285714285,0.49264537227455213,0.1924809495622348,0.2997,R.M. Gamanto Suryatmi,Legal,Staff,Central Connector
EMP00215,9,9,0.00026553106212424846,7.505356898892774e-11,0.0017225179677470381,0.06666666666666667,0.391304347826087,0.375,0.6309523809523808,2.097404711033078e-10,0.1204842917490775,0.2977,"drg. Paulin Palastri, M.Ak",Product,Senior Staff,Central Connector
EMP00761,13,13,1.503006012024048e-05,0.16467500968544269,0.002801810595774851,0.19019700543418963,0.5652173913043478,0.5416666666666666,0.03571428571428571,0.4601914948969567,0.19597715180209288,0.2878,"KH. Labuh Permata, S.H.",Legal,Specialist,Central Connector
EMP00780,12,6,5.385771543086172e-05,0.14966149910797297,0.00227577593424069,0.07002141387660696,0.5217391304347826,0.25,0.12797619047619047,0.41823558495351965,0.15918281071704438,0.2871,"T. Niyaga Pranowo, M.Kom.",Legal,Senior Staff,Central Connector
EMP00693,12,3,3.006012024048096e-05,2.4790524757184035e-09,0.008817286003533873,0.08333333333333333,0.5217391304347826,0.125,0.07142857142857142,6.927820237618629e-09,0.6167392614628705,0.28,"Bagya Hartati, M.M.",Data & Analytics,Senior Staff,Central Connector
EMP00240,6,9,0.0002880761523046092,5.0365754482081457e-11,0.0010521594840402048,0.1,0.2608695652173913,0.375,0.6845238095238095,1.407492970001695e-10,0.07359498862439479,0.2759,Wisnu Saragih,Product,Staff,Central Connector
EMP00705,7,9,0.00026183019304941543,1.1181278001837238e-08,0.0012737143499371262,0.110570686427738,0.30434782608695654,0.375,0.6221584111031347,3.124656891384292e-08,0.08909200032527509,0.2698,Lega Prastuti,Data & Analytics,Lead,Central Connector
EMP00760,13,0,0.0,0.16098488411604656,0.0024740700584406435,0.09172020135818408,0.5652173913043478,0.0,0.0,0.4498792780925875,0.17305281240038448,0.2688,Dr. Hani Yolanda,Legal,Senior Staff,Central Connector
EMP00562,14,3,5.01002004008016e-06,0.00017110346250935975,0.008013830687503097,0.1100642416298209,0.6086956521739131,0.125,0.011904761904761904,0.00047815608661347673,0.5605402861740301,0.2656,Intan Wibisono,HR,Staff,Central Connector
