employee_id,full_name,department,job_level,job_level_name,hire_date,tenure_years,monthly_salary,gender,age,education,manager_id,engagement_score,is_flight_risk_sim,avg_salary,p25_salary,p50_salary,p75_salary,n_employees,salary_position,salary_gap_to_median
EMP00001,"Balidin Dongoran, S.T.",Engineering,1,Staff,2023-06-10,1.56,16787219,P,45,S2,EMP00155,4.2,True,14795718.7,13486210.5,14745058.0,15908522.0,70,above_p75,0.1384979970916357
EMP00002,Darmana Mandala,Engineering,2,Senior Staff,2020-01-19,4.95,16497967,P,45,S2,EMP00155,3.9,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,below_p25,-0.1391031626568108
EMP00003,"Ciaobella Wastuti, M.Pd",Engineering,1,Staff,2020-12-23,4.02,15853064,P,35,S2,EMP00155,2.7,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p50_to_p75,0.07514422798472546
EMP00004,Lantar Anggraini,Engineering,3,Specialist,2020-02-21,4.86,21984461,L,32,D3,EMP00155,3.0,True,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p25_to_p50,-0.05645490795392177
EMP00005,Among Iswahyudi,Engineering,3,Specialist,2020-12-21,4.03,31024041,L,26,S1,EMP00155,3.1,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,above_p75,0.33151236325449623
EMP00006,Daruna Mayasari,Engineering,2,Senior Staff,2019-08-18,5.37,16529890,L,27,S2,EMP00155,2.7,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,below_p25,-0.1374373568191275
EMP00007,Cut Putri Napitupulu,Engineering,3,Specialist,2020-07-10,4.48,20362375,L,43,S1,EMP00155,3.5,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,below_p25,-0.12607277505453682
EMP00008,"Sadina Palastri, S.Farm",Engineering,3,Specialist,2020-06-26,4.51,22729239,P,26,S2,EMP00155,3.6,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p25_to_p50,-0.02448998388487618
EMP00009,Ikin Rahmawati,Engineering,1,Staff,2020-12-03,4.08,14393530,L,35,S1,EMP00155,4.4,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p25_to_p50,-0.023840394524050023
EMP00010,Yessi Ardianto,Engineering,2,Senior Staff,2023-06-29,1.51,20473412,L,44,S1,EMP00155,4.0,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p50_to_p75,0.06834348986296904
EMP00011,"KH. Capa Anggraini, S.Psi",Engineering,2,Senior Staff,2018-08-15,6.38,15484519,L,28,S1,EMP00155,2.4,True,19160183.29032258,17140453.0,19163698.0,21001369.25,62,below_p25,-0.19198690148425424
EMP00012,Eva Pratama,Engineering,1,Staff,2021-07-30,3.42,15360989,P,41,S1,EMP00155,3.9,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p50_to_p75,0.04177202965224009
EMP00013,"Tgk. Baktiono Iswahyudi, S.Sos",Engineering,2,Senior Staff,2022-02-12,2.88,15671093,L,22,S1,EMP00155,3.8,True,19160183.29032258,17140453.0,19163698.0,21001369.25,62,below_p25,-0.18225109788309124
EMP00014,Gatot Situmorang,Engineering,3,Specialist,2021-03-28,3.76,22170054,L,42,D3,EMP00155,3.1,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p25_to_p50,-0.04848949255128316
EMP00015,Tgk. Yani Gunawan,Engineering,1,Staff,2022-01-27,2.93,15927008,P,25,S2,EMP00155,2.9,False,14795718.7,13486210.5,14745058.0,15908522.0,70,above_p75,0.08015906075106656
EMP00016,"Michelle Nasyiah, S.IP",Engineering,1,Staff,2022-07-06,2.49,14544814,L,43,S1,EMP00155,2.8,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p25_to_p50,-0.013580414536178833
EMP00017,Cindy Puspasari,Engineering,2,Senior Staff,2020-01-11,4.97,17151253,P,31,S1,EMP00155,2.3,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p25_to_p50,-0.1050133956400273
EMP00018,Yance Utami,Engineering,4,Lead,2022-04-03,2.75,25324255,L,40,S1,,2.8,False,24546487.85714286,22680203.5,24457318.0,26287897.75,14,p50_to_p75,0.03544693657742848
EMP00019,dr. Ratih Nababan,Engineering,2,Senior Staff,2022-11-27,2.09,23352153,P,31,S1,EMP00155,2.7,True,19160183.29032258,17140453.0,19163698.0,21001369.25,62,above_p75,0.21856193935011917
EMP00020,"Betania Gunawan, S.H.",Engineering,3,Specialist,2021-07-05,3.49,21762360,P,32,D3,EMP00155,2.4,False,23711466.244897958,21585251.0,23299852.0,26477845.0,49,p25_to_p50,-0.06598720026204458
EMP00021,"T. Bahuwirya Pradipta, S.IP",Engineering,5,Manager,2022-06-07,2.57,31924022,L,36,S1,,2.8,False,30678396.0,29090833.0,29991361.0,31924022.0,5,above_p75,0.06444059007525534
EMP00022,Indah Hasanah,Engineering,1,Staff,2020-12-24,4.02,14686542,L,37,S1,EMP00155,4.1,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p25_to_p50,-0.003968516095358865
EMP00023,"Rafid Utama, S.E.",Engineering,1,Staff,2022-03-21,2.78,14879476,L,25,S2,EMP00155,4.7,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p50_to_p75,0.009116139115899036
EMP00024,Kamila Pranowo,Engineering,1,Staff,2018-08-29,6.34,13453863,P,28,S1,EMP00155,4.7,False,14795718.7,13486210.5,14745058.0,15908522.0,70,below_p25,-0.08756798379497727
EMP00025,"Emas Zulaika, S.Pt",Engineering,2,Senior Staff,2022-10-29,2.17,18314591,L,50,D3,EMP00155,3.5,False,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p25_to_p50,-0.04430809752898423
EMP00026,Hj. Ella Nasyidah,Engineering,1,Staff,2022-04-23,2.69,15393392,P,35,S1,EMP00155,4.6,False,14795718.7,13486210.5,14745058.0,15908522.0,70,p50_to_p75,0.043969579502501785
EMP00027,"Hesti Marpaung, M.M.",Engineering,2,Senior Staff,2021-05-21,3.61,17629165,P,31,S1,EMP00155,4.2,True,19160183.29032258,17140453.0,19163698.0,21001369.25,62,p25_to_p50,-0.08007499387644285
EMP00028,Humaira Uyainah,Engineering,1,Staff,2023-11-22,1.11,19214964,L,50,S1,EMP00155,4.7,True,14795718.7,13486210.5,14745058.0,15908522.0,70,above_p75,0.3031460439151884
