employee_id,full_name,department,job_level,job_level_name,hire_date,tenure_years,monthly_salary,gender,age,education,manager_id,engagement_score,is_flight_risk_sim,duration_months,event_observed,low_engagement,below_median_salary,senior
EMP00001,"Balidin Dongoran, S.T.",Engineering,1,Staff,2023-06-10,1.56,16787219,P,45,S2,EMP00155,4.2,True,18.7,1,0,0,0
EMP00002,Darmana Mandala,Engineering,2,Senior Staff,2020-01-19,4.95,16497967,P,45,S2,EMP00155,3.9,False,59.4,0,0,0,0
EMP00003,"Ciaobella Wastuti, M.Pd",Engineering,1,Staff,2020-12-23,4.02,15853064,P,35,S2,EMP00155,2.7,False,48.2,0,1,1,0
EMP00004,Lantar Anggraini,Engineering,3,Specialist,2020-02-21,4.86,21984461,L,32,D3,EMP00155,3.0,True,58.3,1,0,0,0
EMP00005,Among Iswahyudi,Engineering,3,Specialist,2020-12-21,4.03,31024041,L,26,S1,EMP00155,3.1,False,48.4,0,0,0,0
EMP00006,Daruna Mayasari,Engineering,2,Senior Staff,2019-08-18,5.37,16529890,L,27,S2,EMP00155,2.7,False,64.4,0,1,0,0
EMP00007,Cut Putri Napitupulu,Engineering,3,Specialist,2020-07-10,4.48,20362375,L,43,S1,EMP00155,3.5,False,53.8,0,0,0,0
EMP00008,"Sadina Palastri, S.Farm",Engineering,3,Specialist,2020-06-26,4.51,22729239,P,26,S2,EMP00155,3.6,False,54.1,0,0,0,0
EMP00009,Ikin Rahmawati,Engineering,1,Staff,2020-12-03,4.08,14393530,L,35,S1,EMP00155,4.4,False,49.0,0,0,1,0
EMP00010,Yessi Ardianto,Engineering,2,Senior Staff,2023-06-29,1.51,20473412,L,44,S1,EMP00155,4.0,False,18.1,0,0,0,0
EMP00011,"KH. Capa Anggraini, S.Psi",Engineering,2,Senior Staff,2018-08-15,6.38,15484519,L,28,S1,EMP00155,2.4,True,76.6,1,1,1,0
EMP00012,Eva Pratama,Engineering,1,Staff,2021-07-30,3.42,15360989,P,41,S1,EMP00155,3.9,False,41.0,0,0,1,0
EMP00013,"Tgk. Baktiono Iswahyudi, S.Sos",Engineering,2,Senior Staff,2022-02-12,2.88,15671093,L,22,S1,EMP00155,3.8,True,34.6,1,0,1,0
EMP00014,Gatot Situmorang,Engineering,3,Specialist,2021-03-28,3.76,22170054,L,42,D3,EMP00155,3.1,False,45.1,0,0,0,0
EMP00015,Tgk. Yani Gunawan,Engineering,1,Staff,2022-01-27,2.93,15927008,P,25,S2,EMP00155,2.9,False,35.2,0,1,1,0
EMP00016,"Michelle Nasyiah, S.IP",Engineering,1,Staff,2022-07-06,2.49,14544814,L,43,S1,EMP00155,2.8,False,29.9,0,1,1,0
EMP00017,Cindy Puspasari,Engineering,2,Senior Staff,2020-01-11,4.97,17151253,P,31,S1,EMP00155,2.3,False,59.6,0,1,0,0
EMP00018,Yance Utami,Engineering,4,Lead,2022-04-03,2.75,25324255,L,40,S1,,2.8,False,33.0,0,1,0,0
EMP00019,dr. Ratih Nababan,Engineering,2,Senior Staff,2022-11-27,2.09,23352153,P,31,S1,EMP00155,2.7,True,25.1,1,1,0,0
EMP00020,"Betania Gunawan, S.H.",Engineering,3,Specialist,2021-07-05,3.49,21762360,P,32,D3,EMP00155,2.4,False,41.9,0,1,0,0
EMP00021,"T. Bahuwirya Pradipta, S.IP",Engineering,5,Manager,2022-06-07,2.57,31924022,L,36,S1,,2.8,False,30.8,0,1,0,1
EMP00022,Indah Hasanah,Engineering,1,Staff,2020-12-24,4.02,14686542,L,37,S1,EMP00155,4.1,False,48.2,0,0,1,0
EMP00023,"Rafid Utama, S.E.",Engineering,1,Staff,2022-03-21,2.78,14879476,L,25,S2,EMP00155,4.7,False,33.4,0,0,1,0
EMP00024,Kamila Pranowo,Engineering,1,Staff,2018-08-29,6.34,13453863,P,28,S1,EMP00155,4.7,False,76.1,0,0,1,0
EMP00025,"Emas Zulaika, S.Pt",Engineering,2,Senior Staff,2022-10-29,2.17,18314591,L,50,D3,EMP00155,3.5,False,26.0,0,0,0,0
EMP00026,Hj. Ella Nasyidah,Engineering,1,Staff,2022-04-23,2.69,15393392,P,35,S1,EMP00155,4.6,False,32.3,0,0,1,0
EMP00027,"Hesti Marpaung, M.M.",Engineering,2,Senior Staff,2021-05-21,3.61,17629165,P,31,S1,EMP00155,4.2,True,43.3,1,0,0,0
EMP00028,Humaira Uyainah,Engineering,1,Staff,2023-11-22,1.11,19214964,L,50,S1,EMP00155,4.7,True,13.3,1,0,0,0
EMP00029,"Puti Prasetya, S.Psi",Engineering,4,Lead,2020-01-14,4.96,22953190,L,48,S1,,3.8,False,59.5,0,0,0,0
EMP00030,"Cut Ghaliyati Firmansyah, S.Psi",Engineering,4,Lead,2018-11-18,6.12,26609112,L,22,S1,,3.6,True,73.4,1,0,0,0
EMP00031,Hasna Haryanto,Engineering,1,Staff,2019-10-15,5.21,14266750,L,39,S1,EMP00155,3.9,False,62.5,0,0,1,0
EMP00032,Vino Purnawati,Engineering,1,Staff,2020-11-10,4.14,14280560,P,49,S1,EMP00155,4.1,False,49.7,0,0,1,0
EMP00033,"Iriana Prabowo, M.Kom.",Engineering,2,Senior Staff,2018-09-28,6.26,19444578,L,49,S1,EMP00155,3.3,True,75.1,1,0,0,0
EMP00034,Syahrini Haryanti,Engineering,4,Lead,2023-11-20,1.11,23096462,P,50,D3,,3.3,False,13.3,0,0,0,0
EMP00035,Eman Mandala,Engineering,1,Staff,2020-05-04,4.66,13598074,P,25,S2,EMP00155,1.8,False,55.9,0,1,1,0
EMP00036,Panca Purwanti,Engineering,1,Staff,2019-11-09,5.14,13151306,L,40,S1,EMP00155,3.2,False,61.7,0,0,1,0
EMP00037,T. Pangeran Padmasari,Engineering,1,Staff,2022-06-21,2.53,19758568,P,29,S1,EMP00155,5.0,True,30.4,1,0,0,0
EMP00038,Restu Wacana,Engineering,1,Staff,2022-11-19,2.12,14458153,L,46,S1,EMP00155,4.0,False,25.4,0,0,1,0
EMP00039,Gawati Mandala,Engineering,2,Senior Staff,2021-06-18,3.54,18015556,P,25,S1,EMP00155,3.6,True,42.5,1,0,0,0
EMP00040,drg. Bakijan Hardiansyah,Engineering,2,Senior Staff,2019-08-03,5.41,18900097,L,33,S1,EMP00155,3.3,False,64.9,0,0,0,0
EMP00041,"Puti Eva Utami, S.E.",Engineering,5,Manager,2019-02-15,5.88,37985352,L,29,S1,,3.5,True,70.6,1,0,0,1
EMP00042,"Ir. Indra Riyanti, S.Pt",Engineering,3,Specialist,2019-02-06,5.9,23404485,P,25,S2,EMP00155,3.5,True,70.8,1,0,0,0
EMP00043,Kezia Riyanti,Engineering,1,Staff,2022-08-17,2.37,15605256,L,51,S1,EMP00155,3.5,False,28.4,0,0,1,0
EMP00044,Paris Ramadan,Engineering,4,Lead,2022-03-06,2.82,17861851,L,37,S1,,3.3,False,33.8,0,0,0,0
EMP00045,Dt. Maman Latupono,Engineering,2,Senior Staff,2021-07-31,3.42,24295624,L,36,S1,EMP00155,2.4,False,41.0,0,1,0,0
EMP00046,"Timbul Nasyiah, S.T.",Engineering,2,Senior Staff,2022-12-07,2.07,22787233,L,42,S1,EMP00155,3.9,False,24.8,0,0,0,0
EMP00047,"Ir. Ganep Kusumo, S.Pd",Engineering,3,Specialist,2018-09-27,6.26,25475406,L,47,S1,EMP00155,3.0,False,75.1,0,0,0,0
EMP00048,Endah Hasanah,Engineering,3,Specialist,2023-09-24,1.27,21865666,P,28,D3,EMP00155,4.3,True,15.2,1,0,0,0
EMP00049,Xanana Saptono,Engineering,2,Senior Staff,2021-02-05,3.9,15727215,P,50,S2,EMP00155,3.0,False,46.8,0,0,1,0
EMP00050,KH. Cemani Mayasari,Engineering,2,Senior Staff,2018-11-24,6.1,15622461,L,50,S1,EMP00155,2.7,False,73.2,0,1,1,0
EMP00051,Tedi Utami,Engineering,1,Staff,2023-11-17,1.12,15700698,L,39,S1,EMP00155,3.6,False,13.4,0,0,1,0
EMP00052,Zaenab Uyainah,Engineering,3,Specialist,2023-03-03,1.83,17748058,L,49,S2,EMP00155,4.5,False,22.0,0,0,0,0
EMP00053,Drs. Dalimin Mangunsong,Engineering,3,Specialist,2022-10-18,2.2,23299852,L,42,S1,EMP00155,3.7,False,26.4,0,0,0,0
EMP00054,Vanesa Marpaung,Engineering,2,Senior Staff,2022-03-26,2.77,21783817,P,26,S1,EMP00155,2.8,False,33.2,0,1,0,0
EMP00055,KH. Virman Nuraini,Engineering,2,Senior Staff,2018-10-20,6.2,21281784,P,50,S2,EMP00155,3.2,False,74.4,0,0,0,0
EMP00056,Liman Sinaga,Engineering,5,Manager,2021-08-20,3.36,29090833,P,25,D3,,2.1,False,40.3,0,1,0,1
EMP00057,Anita Kusumo,Engineering,1,Staff,2023-05-28,1.6,12432364,L,35,S2,EMP00155,2.4,False,19.2,0,1,1,0
EMP00058,Yance Samosir,Engineering,1,Staff,2019-12-09,5.06,10607217,P,45,S1,EMP00155,3.3,True,60.7,1,0,1,0
EMP00059,Asmianto Permadi,Engineering,1,Staff,2020-04-30,4.67,15314290,L,51,S1,EMP00155,3.9,False,56.0,0,0,1,0
EMP00060,Puti Chelsea Laksita,Engineering,2,Senior Staff,2021-06-23,3.52,21205763,L,26,D3,EMP00155,3.2,False,42.2,0,0,0,0
EMP00061,"Puti Vanya Nasyidah, S.E.I",Engineering,1,Staff,2023-01-29,1.92,12349052,L,23,S2,EMP00155,2.5,False,23.0,0,1,1,0
EMP00062,Maryanto Kusmawati,Engineering,2,Senior Staff,2018-09-12,6.3,22077883,L,49,S1,EMP00155,4.1,True,75.6,1,0,0,0
EMP00063,R.M. Eman Nuraini,Engineering,4,Lead,2020-02-28,4.84,26615266,P,37,S1,,2.7,True,58.1,1,1,0,0
EMP00064,"Ir. Lintang Prabowo, M.Pd",Engineering,3,Specialist,2023-11-01,1.17,29125986,P,30,D3,EMP00155,2.5,True,14.0,1,1,0,0
EMP00065,"H. Muhammad Pangestu, S.Pd",Engineering,1,Staff,2022-09-27,2.26,17241077,P,48,S1,EMP00155,3.1,True,27.1,1,0,0,0
EMP00066,Salsabila Yulianti,Engineering,2,Senior Staff,2020-12-28,4.01,19697526,L,45,S1,EMP00155,3.7,False,48.1,0,0,0,0
EMP00067,Maida Maryati,Engineering,2,Senior Staff,2021-01-08,3.98,22162077,L,42,S1,EMP00155,3.7,False,47.8,0,0,0,0
EMP00068,Devi Prayoga,Engineering,2,Senior Staff,2023-03-23,1.78,19205992,P,25,S1,EMP00155,4.3,False,21.4,0,0,0,0
EMP00069,Atma Sirait,Engineering,1,Staff,2018-09-06,6.32,11817896,L,34,S1,EMP00155,1.7,True,75.8,1,1,1,0
EMP00070,Lanjar Puspasari,Engineering,3,Specialist,2021-05-06,3.66,19476364,P,36,S1,EMP00155,3.7,False,43.9,0,0,0,0
EMP00071,Lanjar Prasetya,Engineering,2,Senior Staff,2020-08-05,4.41,21994039,L,31,S1,EMP00155,2.6,False,52.9,0,1,0,0
EMP00072,Bagus Usamah,Engineering,2,Senior Staff,2019-07-24,5.44,20456697,P,44,S1,EMP00155,3.2,False,65.3,0,0,0,0
EMP00073,Dartono Hidayat,Engineering,3,Specialist,2021-02-12,3.88,26477845,L,47,S1,EMP00155,3.7,False,46.6,0,0,0,0
EMP00074,Satya Sitompul,Engineering,1,Staff,2019-12-24,5.02,14263575,L,31,S1,EMP00155,1.9,False,60.2,0,1,1,0
