employee_id,full_name,department,job_level,job_level_name,hire_date,tenure_years,monthly_salary,gender,age,education,manager_id,engagement_score,is_flight_risk_sim
EMP00001,"Balidin Dongoran, S.T.",Engineering,1,Staff,2023-06-10,1.56,16787219,P,45,S2,EMP00155,4.2,True
EMP00002,Darmana Mandala,Engineering,2,Senior Staff,2020-01-19,4.95,16497967,P,45,S2,EMP00155,3.9,False
EMP00003,"Ciaobella Wastuti, M.Pd",Engineering,1,Staff,2020-12-23,4.02,15853064,P,35,S2,EMP00155,2.7,False
EMP00004,Lantar Anggraini,Engineering,3,Specialist,2020-02-21,4.86,21984461,L,32,D3,EMP00155,3.0,True
EMP00005,Among Iswahyudi,Engineering,3,Specialist,2020-12-21,4.03,31024041,L,26,S1,EMP00155,3.1,False
EMP00006,Daruna Mayasari,Engineering,2,Senior Staff,2019-08-18,5.37,16529890,L,27,S2,EMP00155,2.7,False
EMP00007,Cut Putri Napitupulu,Engineering,3,Specialist,2020-07-10,4.48,20362375,L,43,S1,EMP00155,3.5,False
EMP00008,"Sadina Palastri, S.Farm",Engineering,3,Specialist,2020-06-26,4.51,22729239,P,26,S2,EMP00155,3.6,False
EMP00009,Ikin Rahmawati,Engineering,1,Staff,2020-12-03,4.08,14393530,L,35,S1,EMP00155,4.4,False
EMP00010,Yessi Ardianto,Engineering,2,Senior Staff,2023-06-29,1.51,20473412,L,44,S1,EMP00155,4.0,False
EMP00011,"KH. Capa Anggraini, S.Psi",Engineering,2,Senior Staff,2018-08-15,6.38,15484519,L,28,S1,EMP00155,2.4,True
EMP00012,Eva Pratama,Engineering,1,Staff,2021-07-30,3.42,15360989,P,41,S1,EMP00155,3.9,False
EMP00013,"Tgk. Baktiono Iswahyudi, S.Sos",Engineering,2,Senior Staff,2022-02-12,2.88,15671093,L,22,S1,EMP00155,3.8,True
EMP00014,Gatot Situmorang,Engineering,3,Specialist,2021-03-28,3.76,22170054,L,42,D3,EMP00155,3.1,False
EMP00015,Tgk. Yani Gunawan,Engineering,1,Staff,2022-01-27,2.93,15927008,P,25,S2,EMP00155,2.9,False
EMP00016,"Michelle Nasyiah, S.IP",Engineering,1,Staff,2022-07-06,2.49,14544814,L,43,S1,EMP00155,2.8,False
EMP00017,Cindy Puspasari,Engineering,2,Senior Staff,2020-01-11,4.97,17151253,P,31,S1,EMP00155,2.3,False
EMP00018,Yance Utami,Engineering,4,Lead,2022-04-03,2.75,25324255,L,40,S1,,2.8,False
EMP00019,dr. Ratih Nababan,Engineering,2,Senior Staff,2022-11-27,2.09,23352153,P,31,S1,EMP00155,2.7,True
EMP00020,"Betania Gunawan, S.H.",Engineering,3,Specialist,2021-07-05,3.49,21762360,P,32,D3,EMP00155,2.4,False
EMP00021,"T. Bahuwirya Pradipta, S.IP",Engineering,5,Manager,2022-06-07,2.57,31924022,L,36,S1,,2.8,False
EMP00022,Indah Hasanah,Engineering,1,Staff,2020-12-24,4.02,14686542,L,37,S1,EMP00155,4.1,False
EMP00023,"Rafid Utama, S.E.",Engineering,1,Staff,2022-03-21,2.78,14879476,L,25,S2,EMP00155,4.7,False
EMP00024,Kamila Pranowo,Engineering,1,Staff,2018-08-29,6.34,13453863,P,28,S1,EMP00155,4.7,False
EMP00025,"Emas Zulaika, S.Pt",Engineering,2,Senior Staff,2022-10-29,2.17,18314591,L,50,D3,EMP00155,3.5,False
EMP00026,Hj. Ella Nasyidah,Engineering,1,Staff,2022-04-23,2.69,15393392,P,35,S1,EMP00155,4.6,False
EMP00027,"Hesti Marpaung, M.M.",Engineering,2,Senior Staff,2021-05-21,3.61,17629165,P,31,S1,EMP00155,4.2,True
EMP00028,Humaira Uyainah,Engineering,1,Staff,2023-11-22,1.11,19214964,L,50,S1,EMP00155,4.7,True
EMP00029,"Puti Prasetya, S.Psi",Engineering,4,Lead,2020-01-14,4.96,22953190,L,48,S1,,3.8,False
EMP00030,"Cut Ghaliyati Firmansyah, S.Psi",Engineering,4,Lead,2018-11-18,6.12,26609112,L,22,S1,,3.6,True
EMP00031,Hasna Haryanto,Engineering,1,Staff,2019-10-15,5.21,14266750,L,39,S1,EMP00155,3.9,False
EMP00032,Vino Purnawati,Engineering,1,Staff,2020-11-10,4.14,14280560,P,49,S1,EMP00155,4.1,False
EMP00033,"Iriana Prabowo, M.Kom.",Engineering,2,Senior Staff,2018-09-28,6.26,19444578,L,49,S1,EMP00155,3.3,True
EMP00034,Syahrini Haryanti,Engineering,4,Lead,2023-11-20,1.11,23096462,P,50,D3,,3.3,False
EMP00035,Eman Mandala,Engineering,1,Staff,2020-05-04,4.66,13598074,P,25,S2,EMP00155,1.8,False
EMP00036,Panca Purwanti,Engineering,1,Staff,2019-11-09,5.14,13151306,L,40,S1,EMP00155,3.2,False
EMP00037,T. Pangeran Padmasari,Engineering,1,Staff,2022-06-21,2.53,19758568,P,29,S1,EMP00155,5.0,True
EMP00038,Restu Wacana,Engineering,1,Staff,2022-11-19,2.12,14458153,L,46,S1,EMP00155,4.0,False
EMP00039,Gawati Mandala,Engineering,2,Senior Staff,2021-06-18,3.54,18015556,P,25,S1,EMP00155,3.6,True
EMP00040,drg. Bakijan Hardiansyah,Engineering,2,Senior Staff,2019-08-03,5.41,18900097,L,33,S1,EMP00155,3.3,False
EMP00041,"Puti Eva Utami, S.E.",Engineering,5,Manager,2019-02-15,5.88,37985352,L,29,S1,,3.5,True
EMP00042,"Ir. Indra Riyanti, S.Pt",Engineering,3,Specialist,2019-02-06,5.9,23404485,P,25,S2,EMP00155,3.5,True
EMP00043,Kezia Riyanti,Engineering,1,Staff,2022-08-17,2.37,15605256,L,51,S1,EMP00155,3.5,False
EMP00044,Paris Ramadan,Engineering,4,Lead,2022-03-06,2.82,17861851,L,37,S1,,3.3,False
EMP00045,Dt. Maman Latupono,Engineering,2,Senior Staff,2021-07-31,3.42,24295624,L,36,S1,EMP00155,2.4,False
EMP00046,"Timbul Nasyiah, S.T.",Engineering,2,Senior Staff,2022-12-07,2.07,22787233,L,42,S1,EMP00155,3.9,False
EMP00047,"Ir. Ganep Kusumo, S.Pd",Engineering,3,Specialist,2018-09-27,6.26,25475406,L,47,S1,EMP00155,3.0,False
EMP00048,Endah Hasanah,Engineering,3,Specialist,2023-09-24,1.27,21865666,P,28,D3,EMP00155,4.3,True
