employee_id,full_name,department,job_level,job_level_name,hire_date,tenure_years,monthly_salary,gender,age,education,manager_id,engagement_score,is_flight_risk_sim,flight_risk_score,salary_increase_needed,retention_bonus_estimated,total_retention_cost,replacement_cost,net_savings_if_retained
EMP00041,"Puti Eva Utami, S.E.",Engineering,5,Manager,2019-02-15,5.88,37985352,L,29,S1,,3.5,True,0.9307233568913552,3798535.2,7597070.4,53179492.800000004,227912112,174732619.2
EMP00740,Drs. Febi Tarihoran,Data & Analytics,3,Specialist,2022-02-09,2.89,36069697,L,30,S1,EMP00728,2.8,True,0.9962348653199284,3606969.7,7213939.4,50497575.800000004,216418182,165920606.2
EMP00728,"dr. Ratih Sihotang, S.Kom",Data & Analytics,4,Lead,2022-02-18,2.87,31360989,P,36,S1,,3.2,True,0.9441564504390274,3136098.9000000004,6272197.800000001,43905384.60000001,188165934,144260549.39999998
EMP00940,Wulan Widodo,Research,4,Lead,2021-04-12,3.72,31151955,P,25,S1,,3.6,True,0.9361692552921956,3115195.5,6230391.0,43612737.0,186911730,143298993.0
EMP00949,"drg. Septi Sitompul, M.Farm",Research,3,Specialist,2020-10-31,4.17,30379349,L,38,S1,EMP00942,2.4,True,0.95418295246408,3037934.9000000004,6075869.800000001,42531088.60000001,182276094,139745005.39999998
EMP00141,Fathonah Zulaika,Engineering,5,Manager,2023-08-12,1.39,29991361,P,45,S1,,3.8,True,0.9494770265873452,2999136.1,5998272.2,41987905.400000006,179948166,137960260.6
EMP00064,"Ir. Lintang Prabowo, M.Pd",Engineering,3,Specialist,2023-11-01,1.17,29125986,P,30,D3,EMP00155,2.5,True,0.9578533842043666,2912598.6,5825197.2,40776380.400000006,174755916,133979535.6
EMP00716,"Almira Manullang, M.M.",Data & Analytics,3,Specialist,2020-06-20,4.53,28253653,P,51,S1,EMP00728,2.7,True,0.9239762626338088,2825365.3000000003,5650730.600000001,39555114.2,169521918,129966803.8
EMP00179,Kajen Kusmawati,Engineering,4,Lead,2018-09-23,6.27,27919165,L,44,S1,,3.7,True,0.9610203617755771,2791916.5,5583833.0,39086831.0,167514990,128428159.0
EMP00237,"Tgk. Caturangga Sudiati, M.Ak",Product,2,Senior Staff,2023-01-20,1.95,26664234,L,28,S2,EMP00254,1.9,True,0.921245640964612,2666423.4000000004,5332846.800000001,37329927.60000001,159985404,122655476.39999999
