employee_id,full_name,department,job_level,job_level_name,hire_date,tenure_years,monthly_salary,gender,age,education,manager_id,engagement_score,is_flight_risk_sim,influence_score,network_role,flight_risk_score,knowledge_risk,risk_quadrant
EMP00564,"Liman Habibi, S.Psi",HR,2,Senior Staff,2019-01-06,5.98,10789415,L,23,S1,EMP00575,2.9,True,0.5199,Central Connector,0.966107889852222,0.743,🔴 Critical (High Influence + High Risk)
EMP00749,Aris Mandala,Data & Analytics,1,Staff,2022-02-26,2.84,16864776,P,31,S1,EMP00728,2.5,True,0.4427,Central Connector,0.940806440885764,0.6918,🟡 Monitor (Low Influence + High Risk)
EMP00587,"Najib Prakasa, M.M.",HR,2,Senior Staff,2019-10-30,5.17,12193931,L,43,S1,EMP00575,2.9,True,0.3694,Central Connector,0.98993519511154,0.6797,🟡 Monitor (Low Influence + High Risk)
EMP00586,Hendra Utama,HR,1,Staff,2019-09-15,5.3,9742723,L,40,S2,EMP00575,3.3,True,0.3457,Central Connector,0.9953336419194488,0.6705,🟡 Monitor (Low Influence + High Risk)
EMP00737,Diana Saptono,Data & Analytics,2,Senior Staff,2022-06-22,2.53,22616273,L,32,S1,EMP00728,3.5,True,0.3304,Central Connector,0.922872097005571,0.6266,🟡 Monitor (Low Influence + High Risk)
EMP00235,Salsabila Latupono,Product,2,Senior Staff,2021-01-05,3.99,21664158,P,46,S1,EMP00254,3.4,True,0.2259,Central Connector,0.9887936833561712,0.6073,🟡 Monitor (Low Influence + High Risk)
EMP00715,Mutia Hidayanto,Data & Analytics,2,Senior Staff,2022-12-22,2.03,17445796,P,31,S1,EMP00728,2.5,True,0.2072,Central Connector,0.998446430353479,0.6028,🟡 Monitor (Low Influence + High Risk)
EMP00515,"T. Elvin Simbolon, S.IP",Finance,1,Staff,2019-11-09,5.14,14157096,P,50,S1,EMP00523,2.8,True,0.1859,Central Connector,0.9942141077632372,0.5901,🟡 Monitor (Low Influence + High Risk)
EMP00227,Jane Sirait,Product,1,Staff,2019-10-16,5.21,16380901,P,34,S1,EMP00254,2.8,True,0.1959,Central Connector,0.9811874073705964,0.5885,🟡 Monitor (Low Influence + High Risk)
EMP00218,Harsaya Sirait,Product,2,Senior Staff,2022-07-31,2.42,20494043,L,31,S2,EMP00254,2.7,True,0.1652,Central Connector,0.9945565663181524,0.5799,🟡 Monitor (Low Influence + High Risk)
